"Metric 3: Carbon content of Hawai'i fossil fuel use","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"","","","Industrial","","Notes","0","0","1323393.27462","1750186.92097","1791023.84434","1757700.76041","1778556.14564","1986470.25987","1994191.98697","2262461.03701","2083973.12694","2064722.59682","2131987.20859","1874432.70478","2111883.0096","2142067.73631","2008927.00687","1981861.61375","1942188.43492","1996015.00695","1896825.23912","2424220.93229","2674440.05056","2421250.93344","3119472.88759","1655443.45027","1551027.25648","1842214.72224","2462242.25691","2504759.90855","2969571.41392","2628855.38489","3053276.72716","2945715.82106","2982866.21831","2998108.38717","3347279.99709","3360308.11472","3437843.0595","3064648.61847","2467956.13777","2246485.24433","2375744.37816","2238049.10772","2189163.90081","2267729.72565","2244392.70252","2617893.16831","2565761.55468","2369378.71015","2164505.42183","2249480.97796","2177157.33371","2207067.66503","2168818.67032","2073907.21875","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","Power","","Notes","0","0","1601191.59748","1773593.46541","1960146.34504","2220044.01076","2441928.17448","2528591.55981","2716716.77407","2870898.05833","3183700.15991","3532388.48723","3948687.20374","4379876.85412","4963675.45413","5098156.31034","5267783.4701","5394772.61424","5729957.36177","5988930.12477","6155412.61526","6243000.90332","6432051.0203","6437137.98529","6135064.75531","6296830.24191","6446294.52227","6391262.81013","6695370.8261","7046278.91996","7530742.9673","7896911.95612","9029747.4891","7444772.72001","8548252.83894","8470528.14709","8753703.01196","9057007.45703","9380881.7652","9302885.63437","9151281.67083","9269484.99963","9412342.32647","9405890.32145","10115874.0054","9373189.52412","9729689.30142","9681697.43831","9656383.25087","9675237.31847","9438001.89243","9192161.70323","8865155.04021","8715078.59135","8287109.18967","7915826.67597","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","Ground and Water Transportation","","Notes","0","0","2279851.50856","2932781.71479","2815408.81497","2776452.04603","3135862.96192","3078965.28496","3139660.46575","3246056.15894","3972261.05834","4158397.02539","4082893.86486","4264176.87428","4067510.32362","4326423.161","4056376.94113","4248300.58886","4680832.82375","5213258.2007","5522161.80865","6386349.93273","6091039.92392","6141422.2053","5480704.91966","4995015.27682","5119417.7949","6199738.96595","6293039.31529","5346288.96346","6625670.08707","7204900.15956","7528056.14754","8007015.13357","7922149.31514","7236185.91686","7814058.41171","7391593.25564","5806951.51204","5357164.15994","5234879.86671","6318887.60937","6536739.75821","7446905.91323","7530802.30828","8315065.58797","8802777.65292","7944085.54467","8701674.22152","11335103.9422","7140604.99234","7587440.82774","7666460.43491","7868337.83539","7244470.69983","7167779.90792","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","Air Transportation","","Notes","0","0","3266615.44976","3727258.74394","3123086.6665","3439246.4513","3559190.01398","3973196.52308","5016330.12654","6090962.8894","6875101.69594","6969974.40735","7054709.39928","8060115.96791","8037712.78672","8172298.54876","7362278.2878","7343967.98177","7033421.0137","7371974.10577","7365478.26173","7574820.76015","7013626.94291","4990027.63001","3699849.05336","5528695.1715","6411310.13813","6573616.3684","5103946.40745","5738911.64825","5997099.93108","6632182.82184","6331679.32253","5584689.19844","5047394.28086","4494584.07998","4787870.44532","5023168.80696","5071910.73425","5118012.35997","5001669.73074","4719414.61519","4694972.3042","4428082.49356","5054902.15253","6301404.60072","6644702.84555","8129561.05551","7613938.35002","6336986.13228","5313305.31243","4621317.07879","4889285.94477","5438701.16118","5616566.13418","5620603.28165","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","All","","Notes","8582726.3344","10319223.5356","9829668.92321","10331196.8299","11070693.7583","11719783.7188","13037078.5603","14653634.4379","16328783.9758","17060718.2833","17631971.6138","18959625.6794","19531578.3495","20097271.4818","19012431.9835","19229175.8457","19754311.0326","20985283.2178","21337568.8466","23147383.7948","22929882.2983","20577598.2605","18975107.5908","19005447.1241","19891347.5056","21405998.6315","21005373.279","21220239.0205","24795534.3732","25835254.346","27026575.2569","24671246.7382","25846983.1621","23750987.9688","25480055.8603","25366392.745","24139008.8859","23367668.0864","23429426.793","23061928.3982","23558275.402","24009994.3448","25475343.9748","26778263.6748","28005317.1014","28960747.7028","29133204.075","30228419.4385","24644942.9948","24305446.9925","24247046.1953","24934182.5449","24015838.8911","23450898.9704","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Metric 3 Title","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","All Fuels Life Cycle Emissions in 2013","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","CO2e Emissions of Hawaii (CO2)","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Life Cycle Analysis Comparison (CO2)","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
