"Metric 12: Transportation Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ethanol","EMACB","Billion Btu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Biodiesel","-","Billion Btu","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21678.49475","315294.6214","218435.5195","289619.38445","341341.23705","381713.520782","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","All","","Billion Btu","","","24933","32002","30740","30324","34218","33623","34296","35467","43348","45385","44612","46593","44493","47328","44405","46496","51195","56985","60342","69677","66464","67002","59867","54615","55987","67669","68703","58492","72349","78634","82119","87324","86396","78993","85261","80698","63561","58697","57371","69067","71451","81332","82298","90793","96078","86323","94491","122790","76780","81437","81905","83885","77761","76838","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Non-Petroleum Fuels","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","3.0","2.0","3.0","2.0","2.0","21680.49475","315296.6214","218438.5195","289620.38445","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Variable TPU(c,y): Fuels Consumed by Transportation Sector by energy source and year in gallons (NOTE: Changes in all fuels considered)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ground and Water Transportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Petroleum","PAACP","Million Gallons","","","190.092","240.24","233.016","229.992","257.922","254.646","259.728","268.758","324.408","339.99","338.856","353.808","341.67","363.468","344.232","359.31","393.876","436.044","461.118","528.612","504.042","508.872","458.052","419.034","429.996","513.534","522.018","451.248","550.494","594.972","618.282","657.216","646.548","597.072","644.07","613.242","495.894","461.664","452.298","531.048","548.058","619.92","634.116","698.208","734.076","666.162","723.324","919.002","595.896","629.412","630.042","649.614","616.056","610.092","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Distillate fuel oil","DFACP","Million Gallons","","","10.374","39.816","40.95","32.13","47.334","35.448","24.234","17.892","26.418","25.956","30.324","34.482","30.366","31.206","38.85","34.902","52.416","65.184","75.642","163.254","139.902","154.686","108.738","52.416","58.968","133.728","128.982","65.016","129.318","138.306","146.916","176.442","120.12","112.308","135.366","112.686","80.976","55.524","52.164","86.982","68.334","103.11","139.818","217.812","225.078","160.734","142.254","262.332","114.618","131.166","168.882","143.178","137.508","128.52","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","LPG","LGACP","Million Gallons","","","0.084","0.084","0.0","0.042","0.126","0.168","0.21","0.504","0.42","0.756","1.092","0.84","0.882","0.84","0.966","0.924","0.84","0.924","1.638","0.378","1.092","2.352","1.722","1.974","0.336","0.252","0.21","0.252","0.378","0.378","0.546","0.588","1.47","0.378","0.588","0.336","0.084","0.084","0.042","0.0","0.0","0.0","0.0","0.462","0.0","0.63","0.714","0.504","0.168","0.252","0.252","0.546","0.042","0.21","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Lubricants","LUACP","Million Gallons","","","0.798","0.798","2.856","2.856","3.024","3.066","3.192","2.688","2.982","2.772","2.856","2.52","2.688","2.688","2.562","3.108","3.486","3.108","3.36","3.528","3.108","2.982","2.73","2.856","3.066","2.856","2.772","3.15","3.024","3.108","3.192","2.856","2.898","2.982","3.108","3.066","2.982","3.15","3.276","3.318","3.276","2.982","2.94","2.73","2.772","2.73","2.688","2.772","2.562","2.31","2.562","2.436","2.226","2.352","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Motor Gasoline","MGACP","Million Gallons","","","138.18","142.8","149.184","151.704","155.946","165.774","174.132","183.624","198.114","210.0","231.336","240.744","253.806","270.942","269.304","277.83","289.086","304.794","314.118","309.036","299.418","297.15","300.342","300.426","312.186","312.606","324.66","337.386","349.146","360.108","356.034","368.382","364.308","369.936","381.696","384.72","382.368","382.368","380.73","369.012","382.956","402.192","431.004","438.816","443.52","454.986","477.918","465.864","437.472","444.696","413.196","461.37","438.228","442.05","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Residual fuel oil","RFACP","Million Gallons","","","40.656","56.742","40.026","43.26","51.492","50.19","57.96","64.05","96.474","100.506","73.248","75.222","53.928","57.792","32.55","42.546","48.048","62.034","66.36","52.416","60.522","51.702","44.52","61.362","55.44","64.092","65.394","45.444","68.628","93.072","111.594","108.948","157.752","111.468","123.312","112.434","29.484","20.538","16.086","71.736","93.492","111.636","60.354","38.388","62.706","47.082","99.75","187.53","41.076","50.988","45.15","42.084","38.052","36.96","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Synthetic Natural Gas","NGACP","Million Gallons","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.084","0.084","0.084","0.126","0.084","0.084","0.084","0.084","0.126","0.042","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Biofuels","","Million Gallons","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.30891","4.492824","3.11262","4.126962","4.863978","5.43926712","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","Ethanol","EMACP","Million Gallons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Biodiesel","-","Million Gallons","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.30891","4.492824","3.11262","4.126962","4.863978","5.43926712","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","All","","Million Gallons","","","190.092","240.24","233.016","229.992","257.922","254.646","259.728","268.758","324.408","339.99","338.856","353.808","341.67","363.468","344.232","359.31","393.876","436.044","461.118","528.612","504.042","508.872","458.052","419.034","429.996","513.534","522.018","451.248","550.494","594.972","618.282","657.216","646.548","597.072","644.07","613.242","495.894","461.664","452.298","531.048","548.058","619.92","634.116","698.208","734.16","666.246","723.408","919.128","595.98","629.496","630.126","649.698","616.182","610.134","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Non-Petroleum Fuels","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.084","0.084","0.084","0.126","0.084","0.084","0.39291","4.576824","3.23862","4.168962","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Variable RTPU(y): Reduction in trasportation Petroleum use in year y (NOTE: Changes in all fuels considered)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ground and Water Transportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Petroleum","PAACB","Billion Btu","","","","-7069","1262","416","-3894","595","-673","-1171","-7881","-2037","773","-1981","2100","-2835","2923","-2091","-4699","-5790","-3357","-9335","3213","-538","7135","5252","-1372","-11682","-1034","10211","-13857","-6285","-3485","-5205","928","7403","-6268","4563","17137","4864","1326","-11696","-2384","-9881","-966","-8495","-5283","9756","-8169","-28298","46009","-4657","-468","-1980","6125","921","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
