"Metric 13:","","","","","Notes","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Graph Input","Percent of 1990 levels","   Commercial Energy Sector","","","Notes","0.754428115757","0.435180378659","0.920871969121","0.333504956037","0.513863487004","0.318442892246","0.244364891755","0.308156846412","1.09377157967","0.27195740756","0.276442083883","0.238465883308","0.311535298359","0.280284505939","0.329107025018","0.331705363332","0.33495875651","0.279597654134","0.292587539466","0.345927797314","0.342057717279","0.384616764301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total Emissions (MMTCO2E)","   Industrial Energy Sector","","","Notes","2.11513682963","2.02067534262","1.98026408929","1.83940515634","2.03053367591","1.98092370133","2.07918105152","1.96927163465","1.47786913976","1.31042751719","1.33767560375","1.34088405453","1.50302190878","1.52792941107","1.51256484209","1.76591433937","1.79678470986","1.62942254952","1.42537982957","1.40620451924","1.39046598306","1.43228488783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total Emissions (MMTCO2E)","   Residential Energy Sector","","","Notes","0.0456336688721","0.0451296345613","0.074969711129","0.0413900137658","0.0423649906708","0.0416641679553","0.0415642015681","0.0492828747902","0.0891578162787","0.0629892925889","0.0758022324814","0.0762450327054","0.0771355434496","0.0645523054587","0.0645690261298","0.0644251804163","0.0669868948928","0.058944768794","0.0918702240999","0.0859343526633","0.0847729324443","0.0813057340829","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","   Transportation Sector","","","Notes","11.1255441285","10.8803386157","10.3854658306","9.36711395891","10.0494111526","9.89780907391","8.73529217969","8.41440929536","8.22250707626","8.86615764676","9.02372551066","9.53791014042","10.1166929516","11.7645031556","12.4457281307","12.8499519637","13.0429453009","14.0937993271","9.71021621483","9.44888105592","9.65984910336","10.2312281736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","   Electric Power Sector","","","Notes","7.31298102704","6.0292140767","6.97813738834","7.00157536793","7.23262410047","7.49937226898","7.77095587653","7.70847864624","7.53582139003","7.63319898563","7.75212421191","7.74745814551","8.31874416772","7.74418017721","8.03315536883","7.98087266698","7.95547617647","7.98325048568","7.79709317658","7.58929347671","7.31338889643","7.18344446769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Percent of 1990 levels","","","Notes","1.0","0.909000147115","0.952513444857","0.87024584814","0.930460542657","0.92434520167","0.8837502257","0.863999155201","0.862572130302","0.849722092751","0.864756416341","0.88700984712","0.951924361719","1.00129840518","1.04830073827","1.0767615879","1.0863281781","1.12603380302","0.904626621228","0.883978897793","0.879965238624","0.904426798609","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
