"Series","Unit","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crude Oil Price","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gasoline - Regular, State","$ per Gallon","2.79976666667","2.82678571429","2.80141935484","3.1114137931","3.40356666667","3.39156666667","3.37393548387","3.36483870968","3.23653333333","2.9916","2.8607","2.83048387097","2.90787096774","2.86407142857","2.93083870968","3.07946666667","3.34887096774","3.41206666667","3.28838709677","3.25619354839","3.21716666667","3.2009","3.32816666667","3.46","3.47941935484","3.48903571429","3.61167741935","3.72993103448","3.95170967742","4.29353333333","4.47141935484","4.431","4.3054","3.86332258065","3.03466666667","2.45216129032","2.324","2.4015","2.4404516129","2.45726666667","2.61312903226","2.99423333333","3.21170967742","3.23409677419","3.34926666667","3.26170967742","3.33266666667","3.33329032258","3.3815483871","3.42860714286","3.46716129032","3.54436666667","3.56290322581","3.47493333333","3.46109677419","3.48619354839","3.44756666667","3.48132258065","3.51903333333","3.59432258065","3.69380645161","3.74610714286","4.04719354839","4.46056666667","4.37741935484","4.04683333333","4.06274193548","4.11564516129","4.19013333333","4.21209677419","4.14913333333","4.0475483871","4.06148387097","4.22575862069","4.47361290323","4.60686666667","4.54667741935","4.40846666667","4.19438709677","4.21335483871","4.39333333333","4.40825806452","4.14966666667","3.99761111111","4.06018181818","4.26594117647","4.39435294118","4.37805555556","4.35257142857","4.34794117647","4.33995238095","4.34573684211","4.30733333333","4.15886956522","4.0145625","3.92521052632","4.00247619048","4.04466666667","4.16938095238","4.32123809524","4.37177777778","4.35271428571","4.33929166667","4.3125","4.24485","4.1084","3.95545","3.6710952381","3.33019047619","3.05304166667","3.12985714286","3.09736666667","3.25083333333","3.34196666667","3.34120689655","3.19503333333","2.95369565217","2.88848275862","2.85271428571","2.75120833333","2.64846153846","2.601625","2.55693103448","2.59996","2.65395","2.7561","2.81119047619","2.72727272727","2.79157894737","2.86381818182","2.88214285714","2.93138095238","3.05065","3.10183333333","3.07386363636","3.05771428571","3.05869565217","3.05704761905","3.05081818182","3.07876086957","3.11144444444","3.12013636364","3.22077272727","3.28947368421","3.34188888889","3.4494","3.50614285714","3.56271428571","3.67330434783","3.727","3.76719047619"
"Gasoline -Mid Grade, State ","$ per Gallon","2.9606","2.98910714286","2.9624516129","3.29024137931","3.5991","3.5864","3.56787096774","3.55812903226","3.42263333333","3.16346666667","3.02503333333","2.99309677419","3.075","3.02857142857","3.09935483871","3.25646666667","3.54138709677","3.60806666667","3.47735483871","3.44332258065","3.40206666667","3.38483333333","3.51946666667","3.6589","3.67932258065","3.68960714286","3.81922580645","3.94424137931","4.17887096774","4.54026666667","4.70029032258","4.57361290323","4.4439","3.98777419355","3.14323333333","2.59319354839","2.45764516129","2.5395","2.58093548387","2.59863333333","2.76341935484","3.16646666667","3.39632258065","3.41993548387","3.5418","3.44922580645","3.52423333333","3.52493548387","3.57609677419","3.62596428571","3.6664516129","3.74816666667","3.76777419355","3.67483333333","3.65993548387","3.68648387097","3.6457","3.68151612903","3.7213","3.80096774194","3.90632258065","3.82839285714","4.12651612903","4.5475","4.4524516129","4.11066666667","4.13841935484","4.18941935484","4.26736666667","4.28119354839","4.21473333333","4.12193548387","4.13593548387","4.30237931034","4.56058064516","4.69393333333","4.62664516129","4.50093333333","4.28983870968","4.29983870968","4.48646666667","4.49651612903","4.23777777778","4.08294444444","4.14763636364","4.35541176471","4.48182352941","4.46844444444","4.44661904762","4.43047058824","4.42133333333","4.43121052632","4.39495238095","4.24326086957","4.0995625","4.01763157895","4.0979047619","4.139","4.25966666667","4.41304761905","4.47166666667","4.45352380952","4.43825","4.40983333333","4.34095","4.19884","4.05165","3.76804761905","3.42366666667","3.15045833333","3.22746428571","3.19206666667","3.35033333333","3.44226666667","3.44244827586","3.30573333333","3.07595652174","2.99196551724","2.96035714286","2.86508333333","2.77369230769","2.72720833333","2.66448275862","2.6982","2.7536","2.8475","2.90514285714","2.81831818182","2.88852631579","2.967","2.98528571429","3.02338095238","3.15565","3.20611111111","3.17831818182","3.16738095238","3.17647826087","3.17395238095","3.17486363636","3.193","3.24122222222","3.24831818182","3.33527272727","3.39415789474","3.44333333333","3.54485","3.61628571429","3.67323809524","3.804","3.85988888889","3.89185714286"
"Gasoline -Premium, State","$ per Gallon","3.01583333333","3.04503571429","3.01787096774","3.35182758621","3.6664","3.65333333333","3.63458064516","3.62470967742","3.4866","3.22266666667","3.08163333333","3.04903225806","3.13238709677","3.08521428571","3.15725806452","3.31723333333","3.6075483871","3.6756","3.5424516129","3.50767741935","3.4658","3.4481","3.5853","3.72726666667","3.74809677419","3.75857142857","3.89061290323","4.01796551724","4.25687096774","4.62516666667","4.78796774194","4.65896774194","4.52686666667","4.06209677419","3.2018","2.64158064516","2.50338709677","2.58682142857","2.62893548387","2.64696666667","2.81487096774","3.2256","3.4595483871","3.48374193548","3.60776666667","3.5135483871","3.5899","3.59058064516","3.64277419355","3.69332142857","3.73474193548","3.81796666667","3.83787096774","3.74323333333","3.72829032258","3.75529032258","3.7138","3.75006451613","3.79066666667","3.87187096774","3.97906451613","3.90642857143","4.21216129032","4.6282","4.5434516129","4.19986666667","4.22429032258","4.27925806452","4.35793333333","4.37093548387","4.30716666667","4.20780645161","4.2255483871","4.39548275862","4.65590322581","4.78676666667","4.71412903226","4.58676666667","4.37851612903","4.38983870968","4.57796666667","4.58709677419","4.32838888889","4.17827777778","4.24086363636","4.45005882353","4.57152941176","4.55855555556","4.537","4.51958823529","4.51566666667","4.52489473684","4.48885714286","4.33617391304","4.191","4.11284210526","4.18557142857","4.2245","4.35423809524","4.50585714286","4.55961111111","4.54428571429","4.53004166667","4.50166666667","4.4342","4.28976","4.14175","3.8609047619","3.51504761905","3.24108333333","3.3205","3.28466666667","3.4414","3.53276666667","3.53862068966","3.39353333333","3.15656521739","3.08279310345","3.04964285714","2.95483333333","2.86538461538","2.81083333333","2.75003448276","2.79316","2.8462","2.94915","2.99728571429","2.91177272727","2.99857894737","3.07390909091","3.08461904762","3.14176190476","3.29145","3.34561111111","3.30577272727","3.29504761905","3.3017826087","3.30071428571","3.29636363636","3.31589130435","3.36888888889","3.37772727273","3.46836363636","3.53436842105","3.58105555556","3.6794","3.74823809524","3.8010952381","3.93230434783","3.98811111111","4.01480952381"
"Diesel, State","$ per Gallon","3.2706","3.26442857143","3.27716129032","3.34368965517","3.45973333333","3.4899","3.50887096774","3.52548387097","3.52653333333","3.49613333333","3.47226666667","3.48738709677","3.49903225806","3.46675","3.46412903226","3.503","3.55196774194","3.56313333333","3.58019354839","3.60229032258","3.6087","3.65913333333","3.80536666667","3.8893","3.90441935484","3.89717857143","4.06590322581","4.30865517241","4.71238709677","5.21343333333","5.3794516129","5.33387096774","5.1796","4.96364516129","4.56123333333","4.0765483871","3.93219354839","3.88717857143","3.83816129032","3.82423333333","3.80987096774","3.87393333333","3.89119354839","3.92374193548","3.92446666667","3.89477419355","3.91523333333","3.91064516129","3.9325483871","3.92457142857","3.93435483871","3.96363333333","3.99335483871","3.95926666667","3.97670967742","3.98864516129","3.9777","4.04296774194","4.06706666667","4.08722580645","4.1144516129","4.17264285714","4.45474193548","4.7827","4.84558064516","4.76446666667","4.727","4.71251612903","4.7516","4.75035483871","4.8141","4.78825806452","4.78590322581","4.81627586207","4.96187096774","4.9964","4.97361290323","4.8459","4.73916129032","4.7824516129","4.95113333333","4.96896774194","4.93127777778","4.87727777778","4.89213636364","4.92570588235","4.94176470588","4.9365","4.88461904762","4.891","4.89333333333","4.88547368421","4.90447619048","4.88291304348","4.873625","4.849","4.8560952381","4.86266666667","4.84352380952","4.84466666667","4.86366666667","4.85028571429","4.862125","4.8625","4.8607","4.85556","4.8373","4.75295238095","4.62295238095","4.50416666667","4.49960714286","4.4785","4.4965","4.4995","4.48631034483","4.47863333333","4.44926086957","4.42489655172","4.39507142857","4.34525","4.33638461538","4.22158333333","4.13117241379","4.086","4.05995","4.0526","4.0580952381","4.06872727273","4.04584210526","4.03663636364","4.02004761905","4.03576190476","4.0822","4.08277777778","4.05836363636","4.05285714286","4.03873913043","4.02857142857","4.01659090909","4.02341304348","4.01133333333","4.02172727273","4.03845454545","4.04163157895","4.04694444444","4.05635","4.06661904762","4.12419047619","4.15082608696","4.15655555556","4.16004761905"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuel Surcharges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Matson Navigation Company","Percentage","0.15","0.15","0.15","0.183833333333","0.185","0.20975","0.2125","0.2125","0.2125","0.1975","0.188833333333","0.1875","0.185887096774","0.175","0.188548387097","0.195","0.208306451613","0.225","0.225","0.231290322581","0.24","0.24","0.24","0.269032258065","0.29","0.312413793103","0.315","0.33375","0.3375","0.3375","0.365080645161","0.383790322581","0.406666666667","0.320806451613","0.221667","0.15","0.15","0.15","0.15","0.15","0.1539","0.1767","0.2697","0.28","0.28","0.2439","0.24","0.24","0.24","0.2675","0.275","0.275","0.275","0.275","0.266","0.255","0.23125","0.2175","0.2175","0.2175","0.2175","0.2209","0.2787","0.35","0.435","0.460333333333","0.475","0.4724","0.449","0.410161290323","0.405","0.405","0.405","0.411896551724","0.455","0.455","0.455","0.438666666667","0.403548387097","0.39","0.39","0.426290322581","0.435","0.435","0.435","0.435","0.418064516129","0.3965","0.365","0.365","0.3605","0.345","0.345","0.345","0.345","0.345","0.345","0.345","0.359516129032","0.395","0.395","0.417","0.425","0.425","0.425","0.425","0.376666666667","0.367903225806","0.336935483871","0.2825","0.245","0.245","0.245","0.245","0.245","0.243064516129","0.225","0.207580645161","0.203666666667","0.185","0.185","0.17","0.165","0.165","0.165","0.165","0.175161290323","0.18","0.18","0.18","0.18","0.18","0.194516129032","0.23","0.23","0.249833333333","0.2725","0.2725","0.2725","0.2725","0.2725","0.2725","0.2725","0.2725","0.278548387097","0.285","0.291290322581","0.3","0.3","0.3225","0.343064516129"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foreign Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crude Oil","1000 Barrels","4138","4009","4573","4689","4238","3994","3875","4276","4639","3437","3956","3209","3475","3803","3690","4334","4476","3112","3991","4271","4266","3600","3904","3215","3234","3701","3321","1936","2379","4783","3574","3939","4514","2693","3711","3662","2558","4335","4046","3202","3373","3381","3871","3288","2424","5035","4122","1346","5021","3375","2607","3314","3792","3931","2900","3690","1694","4531","3634","3842","3924","2910","3899","1883","3821","5146","3342","3185","2976","5286","2807","3137","4519","2322","2545","4019","2860","3070","3620","2504","3675","4194","3535","2705","3997","4131","2115","1669","700","1543","1396","2123","2127","4299","3533","3675","992","2291","3108","2875","1390","1742","3648","3236","2226","2280","1773","2557","2945","2644","2985","1550","3304","1288","1287","1304","3026","3719","2367","2404","1955","2295","2009","2684","4245","3332","2016","2374","2966","1946","1454","1733","0","1673","1730","1743","2030","1755","1952","2668","3071","3360","2312","3654","2008","3373","3741","3095","2097","",""
"Distillate","1000 Barrels","0","0","0","0","0","0","0","0","80","0","95","63","58","0","35","0","0","50","38","0","0","0","0","0","0","0","35","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","311","215","0","270","0","0","0","0","80","83","0","86","11","0","105","47","39","146","60","75","75","64","75","99","58","94","58","0","93","40","58","47","124","47","65","45","154","21","47","102","47","46","70","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","",""
"Jet Fuel, Kerosene","1000 Barrels","241","0","0","607","0","312","0","0","319","304","220","539","675","308","302","310","553","306","895","151","304","619","200","333","590","327","464","466","505","314","0","592","213","0","0","310","0","0","413","0","0","0","453","76","196","318","152","0","278","626","0","0","627","626","506","0","319","297","594","0","315","311","0","298","300","325","0","0","0","0","301","0","0","310","0","0","625","0","315","645","328","315","0","320","314","315","300","1095","1004","1347","1030","514","489","459","0","314","315","286","0","563","327","0","350","174","639","468","315","315","315","315","672","315","390","370","480","664","0","415","453","446","738","415","515","432","455","655","1047","1065","638","790","605","169","847","630","418","1028","300","376","508","1166","281","134","99","624","953","130","938","311","680","",""
"Residual Fuel Oil","1000 Barrels","0","0","0","0","0","0","367","0","217","0","0","0","64","0","0","0","300","203","0","0","0","0","0","0","0","0","0","0","95","101","0","0","0","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","332","306","516","0","334","0","221","0","0","241","0","0","42","0","0","45","0","115","82","55","42","65","0","0","69","119","45","0","155","68","97","80","168","114","107","29","85","0","101","83","185","96","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Propane","1000 Barrels","0","0","45","0","11","34","0","0","0","0","0","44","0","0","0","20","0","20","20","0","0","0","0","0","0","0","44","46","45","0","0","45","0","0","20","24","0","0","0","40","0","0","0","44","0","31","10","0","58","0","45","55","0","45","45","45","0","0","0","45","52","54","0","54","0","53","0","0","0","0","56","0","0","54","39","16","57","55","37","18","55","0","55","0","95","0","64","51","54","103","53","58","53","51","20","40","46","62","44","63","42","35","23","47","53","62","33","10","82","23","64","32","87","47","37","59","61","57","54","54","61","56","59","57","76","59","59","60","60","59","68","65","79","78","59","55","59","72","40","55","55","56","56","58","55","56","112","55","56","",""
"Fuel Ethanol","1000 Barrels","0","114","75","0","90","166","174","42","203","78","78","81","0","78","81","98","0","94","92","96","0","96","83","0","0","97","95","0","0","0","244","0","0","60","0","0","49","0","47","0","79","63","86","91","82","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128","0","133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","24","0","0","0","0","0","0","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Other Refined Petroleum Products","1000 Barrels","0","0","189","0","0","142","0","0","0","0","0","0","0","0","0","49","98","0","0","0","0","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","218","0","0","0","0","0","0","0","0","0","0","219","0","0","0","0","118","0","0","0","0","0","0","0","0","159","0","0","0","0","0","0","0","0","207","0","0","0","0","32","0","0","0","0","0","207","0","32","0","59","677","308","835","466","66","0","0","118","115","273","8","116","0","65","150","38","97","190","123","60","62","79","0","0","32","0","0","67","20","0","0","0","0","0","73","0","85","0","43","0","40","0","0","0","0","70","0","0","0","65","74","0","221","220","220","316","0","0","0","0","0","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Liquid Fuel Tax Base","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gasoline","Gallons","41566961.19","32294715.19","47094707.3","33034837.98","45005544.39","38749302.29","42554523.49","40128336.2","36072784.89","39760184.97","36836366.8","44696158.29","33760497.76","46896486.2","36291852.19","45265317.99","42217404.07","38193430.99","44036020.27","33513991.52","35144990.97","47191449.27","33424424.24","32696767.71","38305933.55","33406864.66","31556061.14","39842562.28","47626888.84","36044374.39","37994231.44","31372539.52","37512389.39","35252527.84","42307076.92","29628926.97","45801604.95","26717625.38","38799053.99","34673688.98","40371283.17","22976239.14","45226316.24","38657098.43","42639792.35","34338995.07","39018267.76","36329905.19","34348063.08","33224709.48","32727769.06","32563069.56","19368698.11","39658609.48","38928912.49","45490104.51","30315835.92","37178506.47","35999874.04","34862003.06","38271731.84","42734170.71","49805565.94","35025880.45","30379979.41","43565165.78","38152464.72","38901358.05","37101301.09","37718264.09","35953176.07","38052958.09","36143276.09","36031286.08","38037289.06","36650013.03","38218714.02","36521317.09","38112579.06","39218219.06","33121808.32","38258077.08","36272647.02","37683071.07","37533779.08","34367214.07","38004094.11","37824150.81","36221365.27","36460564.35","38521224.47","39361846.72","36728263.07","37983175.01","35882281.08","36690945.03","38615191.01","32238893.2","40353258.58","37467541.5","38725313.98","33197136.99","38636668","39015864","37555599.24","38727651.3","36043044.2","38147540.91","36099123.42","35387364.46","38517516.34","38027570.11","38792614.1","38089133.75","39618957.23","40541496.22","38023750.38","39144563.35","37145649.82","39689708.86","17374197.4","58143514.28","38745744.04","40948018.92","40179787.04","38777874.08","39917148.21","39232992.17","41150282.35","18722555.09","48836825.47","48174966.94","38932437.03","35721335.88","39766136.91","39283800.05","39492990.41","39405723.84","39555906.5","41101707.37","38536810.73","39508563.54","37420758.18","38908149.9","38458778.56","34741937.05","39427967.02","38786913.85","40120223.05","",""
"Diesel Oil (non-hwy)","Gallons","15229156","8922536.01","13959374","11177887","18102687","-7160269.57","12007541","13448164","17025554.01","13189431.5","3014311","7438255.54","9997201","17065194","7703634","14860081","11788698","104886661","34916992","7155564.5","-8818363","1351152.3","22467202","11597120.5","6687832","12969120","5689936.5","18115526","27366579.9","12424435.79","13830863.4","8464192","7955420.5","13283697","20509247.5","4716264.5","20003772","12220636.5","16920329.5","8870883","13159348.5","8864443.5","20635000.5","20479477.5","13520710.2","13823929.8","12994703.5","14669361.5","11903085.5","12067553","9128793.5","10712835","3318072.5","12718366.05","10290111.5","15574595.4","12032437","7779409.5","12256084.8","8713760.5","22245770.5","2863846","18087271.5","10742309.5","11511325.5","15189502","9133317.5","10374480.5","6138609","12550914.25","5928657.5","12067252","22383597","11385239","19565321","15729368","11188700.5","12491967.8","7691176.5","11875616.25","6428608.5","10181918.5","10520236.5","1054701.25","8162464","10686815.5","3708649","7819892.5","9464484","12471408","17200829.25","9771070.5","11005675.5","5056772","11012069","38801592.5","34979027.5","10997298","12990561.25","12053686.74","14345199","2863970.5","9280852","13610685.5","11879458.25","14175348.74","10024190.25","7214913.5","12961379","12754386","12470825.5","12002566","12903283.75","13778241.5","14684212.5","167013518.5","13894004.5","15402199.2","-138061632.02","15109896","7388199.5","25233259","9893544","7170121","11307498","9710050","11383979.5","9538031","13150382","4428020","11935863","14825047.5","10721069","9368348","12759696","17028736","8575812","9661220.5","12323025","10739262","-11354937","11629491.5","32956056","10085361.49","8887440","-10315842","11646659","13546214","9807633","",""
"Diesel Oil (hwy use)","Gallons","4254730.56","4109397.39","3669758.77","3883972.08","5737013.74","3656095.89","5021111.7","3252963.85","4694533.61","3621516.74","4085452.22","4840042.73","4002229.93","5539157.96","3815728.48","4255622.44","4722500.47","3660630.64","3716640.21","3966267.63","3781087.73","6281647.15","4244356.07","4706489.66","3915414.7","3779370.28","2313147.17","4211429.34","6607436.02","5895875.97","3498313.69","3397613.25","4533916.68","4318849.01","10434952.77","3487850.64","4375110.1","3165422.15","-3078129.54","10847537.8","4857856.41","2017069.23","3557951.88","2367970.94","5496133.14","3925114.51","3228989.18","6085941.88","2207400.16","4144460.73","8531978.41","3676357.5","2366587.7","4840178.08","4097522.01","4953561.25","2895608.26","3618254.01","4094059.25","4761191.3","3985487.7","4798933.71","6031658.94","3630152.19","3539338.02","3479540.34","3526852.14","3787741.96","3909313.45","2544747.2","3241912.55","3316252.82","3699462.42","3311177.78","3733992.96","3354999.65","3772802.06","3632724.04","3802512.3","4153365.79","6896198.8","4138400.93","3762226.6","3639166.44","4253537.13","4020973.34","4337853.9","4478669.6","4497171.64","4450003.92","4533994.51","3894669.84","4335207.55","4669990.99","4123862.94","3170717.87","4377285.56","540826.78","4517156.54","3964085.6","3964557.39","3755823","3877784.97","3977471.18","3980827.25","4166901.16","5625679.8","1836740.39","3875085.84","3661389.04","4034173.06","3971484.1","3835779.06","4070679.02","3959490","4029557.22","3913865.93","4165141.06","3894188.05","4052972.13","3281965.04","4521886.05","3831628.99","4372455.04","3919239.08","3464554.05","3943969.97","3174141.06","4940755.13","1867628.35","4873571.06","3559031.04","4182032.09","3685388.07","2778302.14","3922299.06","4354965","4911592.11","4051242.01","4477223.06","4075880.23","4150016.05","3943608.03","3592186.08","3580832.03","3948632.05","4016002.09","4246313.94","4114105.05","",""
"LPG (off hwy)","Gallons","0","72","48","68","80","80","72","0","74","40","112","64","0","56","72","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"LPG (hwy use)","Gallons","15786.29","11844.24","11433.18","17137.36","11192.04","13170.22","9728.88","10768.13","10290.72","6965.08","12639.56","7607.67","10132.69","1007.13","16766.75","8854.37","10453.66","0","18528.2","8277.71","9899.17","8279.71","8007.15","9408.14","8219.13","7902.64","8514.15","8065.48","6496.75","7897.73","8478.27","8927.23","6715.74","7871.77","7282.09","455.57","5998.46","6058.58","12654.86","150","10998.74","7168.22","4582.99","5177.55","0","12309.88","39.34","9445.18","293.3","9888.76","5375.17","735.8","10045.6","4757.07","5690.03","4305.76","3869.7","4244.86","3789.48","0","3904.27","8972.01","3507.97","6035.81","3861.04","3143.94","3769.31","3906.23","4206.02","3891.98","4547.36","3657.08","4700.05","1875.27","3828.6","4391.53","2374.81","4262.3","2746.26","2692.62","3452.68","1512.05","0","2397.07","796.07","3648.76","1358.48","2462.43","785.16","3216.89","1221.26","1460.54","2594.32","1406.86","1322.1","669.15","5080.86","692.8","2242.83","2032.8","2479.84","1496.89","1920.94","1988.78","1052.36","704.53","1306.04","101.6","1633.02","1974.39","1607.48","1887.75","1171.29","1669.62","548.54","1781","658.28","1314.47","1853.69","1467.54","575.2","386.56","931.38","2382.39","675.15","1439.66","831.54","734.02","327.7","1165.38","755.04","1050.02","150.96","1579.28","140.02","215.86","389.92","261.62","419.49","1357.55","1329.61","193.76","180.82","1388.3","318.77","76.98","19227","121.92","1318.47","",""
"Small Boat (gas)","Gallons","3467.2","1304.68","114.37","1302.62","1750.89","1967.82","4138.03","2208.18","0","0","6968.74","1821.14","0","3288.49","17087.11","3080.86","4043.08","48446.71","29472.57","40502.61","43995.95","40080.28","29964.73","27970.46","40252.9","34413.52","43328.38","4612.93","67512.46","38549.32","41685.24","48780.1","38083.02","33915.61","33122.46","27783.41","33125.36","29198.56","23398.64","26454.34","39224.89","202041.11","731178.88","29410.95","26506.5","24884.72","21395.98","27236.21","59431.89","59171.83","65664.29","69418.57","73212","70003.53","78047.9","75588.64","71574.01","74396.41","63359.59","70288","77778.89","82381.02","92263.31","106328.03","101822.5","110230.79","114276.04","99821.73","91632.4","84905.5","71302.23","86400.98","96002.54","83454.47","94084.67","103077.46","112732.8","98398.99","110910.24","75714.99","95883.2","97601.5","89458.05","91564.53","99622.99","84964","101943.21","103929.02","119989.49","116035.06","139813.4","148656.89","128774.99","134555.55","120033.71","125982.37","127872.01","115674.4","128894.15","132141.96","141765.44","143902.05","150852.38","153876.19","127756.66","112774.17","103117","115155.34","117219.33","114391.49","134877.05","136698.14","130301.83","144604.47","151095.02","142806.19","129569.54","138109.89","116498.02","134416.01","161.02","268595.05","144807.13","-906.04","-1009.98","-1015.01","-974.02","-970.02","-875.02","202.4","-1676.05","0","4","63.02","106340.47","157460.87","117793.22","107816.81","110146.72","106939.59","111508.54","106230.45","110067.77","116638.3","121182.93","111954.32","124782.87","130842.48","145345.46","",""
